Site,Address
142 BOUDINOT STREET,142 BOUDINOT ST Trenton New Jersey Trenton New Jersey
160 PENNINGTON AVE,160 PENNINGTON AVE Trenton New Jersey Trenton New Jersey
193 BRUNSWICK AVENUE,193 BRUNSWICK AVE Trenton New Jersey Trenton New Jersey
230 HERMITAGE AVENUE,230 HERMITAGE AVE Trenton New Jersey Trenton New Jersey
301 PROSPECT STREET,301 PROSPECT ST Trenton New Jersey Trenton New Jersey
32 TO 48 SHERIDAN AVENUE,32 48 SHERIDAN AVE Trenton New Jersey Trenton New Jersey
350 GRAND STREET,350 GRAND ST Trenton New Jersey Trenton New Jersey
398 NORTH OLDEN AVE,398 N OLDEN AVE Trenton New Jersey Trenton New Jersey
509-523 PERRY ST,509 523 PERRY ST Trenton New Jersey Trenton New Jersey
51 63 OXFORD STREET,51 63 OXFORD ST Trenton New Jersey Trenton New Jersey
621 PROSPECT STREET,621 PROSPECT ST Trenton New Jersey Trenton New Jersey
7 ELEVEN 40087,110 SANHICAN DR Trenton New Jersey Trenton New Jersey
80 OAKLAND STREET,80 OAKLAND ST Trenton New Jersey Trenton New Jersey
902 CALHOUN STREET,902 CALHOUN ST Trenton New Jersey Trenton New Jersey
ADDICTION SCIENCE CENTER,212 224 N BROAD ST Trenton New Jersey Trenton New Jersey
"AJAX MANUFACTURING INC
FORMER",200 N OLDEN AVE Trenton New Jersey Trenton New Jersey
"AMERADA HESS TRENTON
TERMINAL",141 OAKLAND ST Trenton New Jersey Trenton New Jersey
AMTRAK RAILROAD TRACKS,VARIOUS STREETS Trenton New Jersey Trenton New Jersey
"ANTHONY STORCELLA & SON INC
FORMER",21 NOTTINGHAM WAY Trenton New Jersey Trenton New Jersey
ASSUNPINK GREENWAY BDA,VARIOUS STREET Trenton New Jersey Trenton New Jersey
BELL BRIDAL TUXEDO INC,100 WARD AVE Trenton New Jersey Trenton New Jersey
"BOYS & GIRLS CLUB OF MERCER
CNTY",209 213 CENTRE ST Trenton New Jersey Trenton New Jersey
CADWALADER PARK,PARKSIDE AVE Trenton New Jersey Trenton New Jersey
"CALHOUN ST & FOUNTAIN AVE GW
CONTAMINATION",CALHOUN ST & FOUNTAIN AVE Trenton New Jersey Trenton New Jersey
"CAMMERZELL TOOL & DIE WORKS
INC",650 STRAWBERRY ST Trenton New Jersey Trenton New Jersey
CAMPBELL HOMES COMPLEX,110 PROSPECT VILLAGE Trenton New Jersey Trenton New Jersey
CANAL PLAZA,226 BROAD ST Trenton New Jersey Trenton New Jersey
CENTRAL FIRE HEADQUARTERS,302 334 PERRY ST Trenton New Jersey Trenton New Jersey
CHENEY FLASHING,623 PROSPECT ST Trenton New Jersey Trenton New Jersey
CMF LIMITED INC,599 INGHAM AVE Trenton New Jersey Trenton New Jersey
CORDEY CHINA,356 ENTERPRISE AVE Trenton New Jersey Trenton New Jersey
CRANE COMPANY,303 429 N CLINTON AVE Trenton New Jersey Trenton New Jersey
CROSSLEY MACHINE CO,301 MONMOUTH ST Trenton New Jersey Trenton New Jersey
DELTA,579 585 S BROAD ST Trenton New Jersey Trenton New Jersey
DEPARTMENT OF CORR ADM OFC,1400 STUYVESANT AVE Trenton New Jersey Trenton New Jersey
EASTERN SUMMATEK,335 N OLDEN AVE Trenton New Jersey Trenton New Jersey
"EAST STATE STREET & SOUTH
OLDEN AVE",E STATE ST & S OLDEN AVE Trenton New Jersey Trenton New Jersey
ENGINE 8,698 STUYVESANT AVE Trenton New Jersey Trenton New Jersey
ENGINE 9,1100 BRUNSWICK AVE Trenton New Jersey Trenton New Jersey
ETON CLEANERS,701 BRUNSWICK AVE Trenton New Jersey Trenton New Jersey
EXXON SERVICE STATION 3-0109,144 SANHICAN DR Trenton New Jersey Trenton New Jersey
FAST TRAC,334 MULBERRY ST Trenton New Jersey Trenton New Jersey
FATHER ROCCO PARK,CALHOUN ST & N WILLOW ST Trenton New Jersey Trenton New Jersey
FEDERATED METALS,300 ENTERPRISE AVE Trenton New Jersey Trenton New Jersey
F&W SCRAP  ,461 NEW YORK AVE Trenton New Jersey Trenton New Jersey
GARBAGE & TRASH REMOVAL,745 CALHOUN ST Trenton New Jersey Trenton New Jersey
"GENESEE STREET SOIL GAS
CONTAMINATION",GENESEE ST Trenton New Jersey Trenton New Jersey
GENTRY HOLDING INC,153 OAKLAND ST Trenton New Jersey Trenton New Jersey
GRANVILLE HIGH SCHOOL,50 N CLINTON AVE Trenton New Jersey Trenton New Jersey
GSFM CORP NJ 0182,800 GREENWOOD AVE Trenton New Jersey Trenton New Jersey
HENRY R FELL CO (FORMER),42 ESCHER ST Trenton New Jersey Trenton New Jersey
JENNY'S DELI & MARKET,200 N CLINTON AVE Trenton New Jersey Trenton New Jersey
JOHNSTON COURT INC,483 496 BROAD ST S Trenton New Jersey Trenton New Jersey
KRAMER TRENTON COMPANY,637 N OLDEN AVE Trenton New Jersey Trenton New Jersey
KWIK KLEEN CLEANERS,110 114 S WARREN ST Trenton New Jersey Trenton New Jersey
"LAMBERT FURNITURE CORP
FORMER PLUS",1395 NEW YORK AVE Trenton New Jersey Trenton New Jersey
LIBERTY CIRCLE F INCORPORATED,39 MEADE ST Trenton New Jersey Trenton New Jersey
LINCOLN SUPPLY COMPANY,76 LINCOLN AVE Trenton New Jersey Trenton New Jersey
"LOWER ASSUNPINK CREEK
RESTORATION PROJECT",310 S WARREN ST Trenton New Jersey Trenton New Jersey
"MAGIC MARKER INC/ GOULD
NATIONAL BATTERY CORP",467 CALHOUN ST Trenton New Jersey Trenton New Jersey
"MATERIALS ELECTRONIC
PRODUCTS FORMER",780 N CLINTON AVE Trenton New Jersey Trenton New Jersey
MCCRAES GULF,305 N BROAD ST Trenton New Jersey Trenton New Jersey
"MEDICAL ARTS BUILDING @
CAPITAL HEALTH",40 FULD ST Trenton New Jersey Trenton New Jersey
MERCURY FRENCH DRY CLRS INC,215 225 W INGHAM AVE Trenton New Jersey Trenton New Jersey
"MIDAK INDUSTRIES
INCORPORATED",120 HAMILTON AVE Trenton New Jersey Trenton New Jersey
"MONMOUTH ST & EAST STATE ST
GW CONTAMINATION",MONMOUTH ST & E STATE ST Trenton New Jersey Trenton New Jersey
"MONUMENT MEDICAL ARTS
CENTER","PENNINGTON AVE & N WARREN
ST Trenton New Jersey Trenton New Jersey"
NATIONAL CERAMIC COMPANY INC,500 SOUTHARD ST Trenton New Jersey Trenton New Jersey
NEW METHOD CLEANERS INC,310 PROSPECT ST Trenton New Jersey Trenton New Jersey
"NJ TRANSIT RIVER LINE MERCER
COUNTY",VARIOUS LOCATIONS Trenton New Jersey Trenton New Jersey
"NORTH 25 URBAN RENEWAL
PRESEVERATION SITES",257 N WILLOW ST Trenton New Jersey Trenton New Jersey
PAGE HOMES,150 ROSSELL AVE Trenton New Jersey Trenton New Jersey
"PATTERN MACHINE & FOUNDRY
COMPANY",241 3RD ST Trenton New Jersey Trenton New Jersey
PENNINGTON AVENUE PROJECT,300 400 PENNINGTON AVE Trenton New Jersey Trenton New Jersey
PERFORMANCE INDUSTRY INC,51 TUCKER ST Trenton New Jersey Trenton New Jersey
PETERS SCRAP YARD,1050 NEW YORK AVE Trenton New Jersey Trenton New Jersey
PHILLIPS 66,33 39 CALHOUN ST Trenton New Jersey Trenton New Jersey
POLLER PROPERTY,304 E CANAL ST Trenton New Jersey Trenton New Jersey
PRINCETON AUTO BROKERS,682 S BROAD ST Trenton New Jersey Trenton New Jersey
"PROPOSED WEST WARD
FIREHOUSE",1464 W STATE ST Trenton New Jersey Trenton New Jersey
"PSE&G FORMER BRUNSWICK AVE
FACILITY",NEW YORK AVE & SYLVESTER ST Trenton New Jersey Trenton New Jersey
"PSE&G OLDEN AVENUE
SUBSTATION",599 N OLDEN AVE Trenton New Jersey Trenton New Jersey
"PSE&G TRANSFORMER AT BLOCK
18202, LOT 2",RT 129 & LALOR ST Trenton New Jersey Trenton New Jersey
PUKALA & FISHER SITES FORMER,101 HART AVE Trenton New Jersey Trenton New Jersey
REFRIGERATION SYSTEMS INC,360 PENNINGTON AVE Trenton New Jersey Trenton New Jersey
"REGIONAL SLUDGE MANAGEMENT
FACILITY",1600 LAMBERTON RD Trenton New Jersey Trenton New Jersey
REITHER BROS GARAGE,1570 PRINCETON AVE Trenton New Jersey Trenton New Jersey
R.E MICHEL CO,827 NEW YORK AVE Trenton New Jersey Trenton New Jersey
ROAD RUNNER,406 BRUNSWICK AVE Trenton New Jersey Trenton New Jersey
ROEBLING BLOCK 2,670 S CLINTON AVE Trenton New Jersey Trenton New Jersey
ROEBLING COMPLEX BLOCK 3,21 71 CLARK ST Trenton New Jersey Trenton New Jersey
ROEBLING MARKET COMPLEX,635 S CLINTON AVE Trenton New Jersey Trenton New Jersey
ROEBLING STEEL COMPANY,S BROAD ST & CLINTON AVE Trenton New Jersey Trenton New Jersey
SAINTE MARIE CLEANERS,723 CHESTNUT AVE Trenton New Jersey Trenton New Jersey
"SCARPATI SCRAP METALS &
RECYCLING FORMER",26 40 MULBERRY ST Trenton New Jersey Trenton New Jersey
"SCHOFIELD CLEANERS
INCORPORATED",1474 W STATE ST Trenton New Jersey Trenton New Jersey
SL ENTERPRISES INCORPORTED,319 N OLDEN AVE Trenton New Jersey Trenton New Jersey
STATE HOUSE COMPLEX,101 W STATE ST Trenton New Jersey Trenton New Jersey
"STATE OF NJ CENTRAL MOTOR
POOL",605 S BROAD ST Trenton New Jersey Trenton New Jersey
ST JAMES CHURCH,29 PAUL AVE Trenton New Jersey Trenton New Jersey
STOKES MOLDED PRODUCTS,TAYLOR ST & WEBSTER ST Trenton New Jersey Trenton New Jersey
"TEXACO SERVICE STATION
(FORMER)",700 CALHOUN ST Trenton New Jersey Trenton New Jersey
THE RC MAXWELL CO,725 E STATE ST Trenton New Jersey Trenton New Jersey
TRENTON BRAKES,1242 MARTIN LUTHER KING BLVD Trenton New Jersey Trenton New Jersey
"TRENTON CITY FIRE DEPT ENGINE
#6",59 S OLDEN AVE Trenton New Jersey Trenton New Jersey
TRENTON CITY HALL ANNEX,319 E STATE ST Trenton New Jersey Trenton New Jersey
"TRENTON CITY POWERHOUSE
FORMER",191 N OLDEN AVE Trenton New Jersey Trenton New Jersey
TRENTON FLEET SERVICES,375 ENTERPRISE AVE Trenton New Jersey Trenton New Jersey
TRENTON HOUSE SQUARE,NEW WARREN ST Trenton New Jersey Trenton New Jersey
TRENTON LEHIGH COAL & OIL,430 NEW YORK AVE Trenton New Jersey Trenton New Jersey
TRENTON PARKING UTILITY,1 LAFAYETTE ST Trenton New Jersey Trenton New Jersey
"TRENTON PERFORMING ARTS
CENTER",621 HUDSON ST Trenton New Jersey Trenton New Jersey
TRENTON POLICE DEPARTMENT,225 N CLINTON AVE Trenton New Jersey Trenton New Jersey
TRENTON PUBLIC WORKS,476 BRUNSWICK AVE Trenton New Jersey Trenton New Jersey
TRENTON SEWER UTILITY,1502 LAMBERTON RD Trenton New Jersey Trenton New Jersey
"TRENTON WATER FILTRATION
PLANT",RT 29 Trenton New Jersey Trenton New Jersey
"US STEEL CORPORATION
AMERICAN BRIDGE DIV",501 JOHN FITCH PKWY Trenton New Jersey Trenton New Jersey
VEOLIA ENERGY TRENTON LP,320 S WARREN ST Trenton New Jersey Trenton New Jersey
"WARREN STREET COAL GAS
(PSE&G)",WARREN ST Trenton New Jersey Trenton New Jersey
WATER DEPARTMENT,MULBERRY ST & CORTLAND ST Trenton New Jersey Trenton New Jersey
WILKINS PARCEL,HART AVE Trenton New Jersey Trenton New Jersey
WILLOW & PASSAIC ST GARAGE,145 149 N WILLOW ST Trenton New Jersey Trenton New Jersey
